fecha_operacion,fecha_valor,hoja,moneda,pais,bs_por_moneda_compra,bs_por_moneda_venta,publicado_en,archivo_fuente,url_fuente
2023-10-19,2023-10-20,19102023,EUR,Zona Euro,36.76851482,36.86066649,2023-10-19 15:14:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-19,2023-10-20,19102023,USD,E.U.A.,34.771254,34.8584,2023-10-19 15:14:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-20,2023-10-23,20102023,EUR,Zona Euro,36.95108553,37.04369477,2023-10-20 15:29:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-20,2023-10-23,20102023,USD,E.U.A.,34.89045525,34.9779,2023-10-20 15:29:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-23,2023-10-24,23102023,EUR,Zona Euro,37.08619039,37.17913824,2023-10-23 15:08:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-23,2023-10-24,23102023,USD,E.U.A.,34.88856,34.976,2023-10-23 15:08:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-24,2023-10-25,24102023,EUR,Zona Euro,37.01393318,37.10669993,2023-10-24 15:14:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-24,2023-10-25,24102023,USD,E.U.A.,34.9402305,35.0278,2023-10-24 15:14:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-25,2023-10-26,25102023,EUR,Zona Euro,36.99474048,37.08745913,2023-10-25 15:15:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-25,2023-10-26,25102023,USD,E.U.A.,34.9346445,35.0222,2023-10-25 15:15:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-26,2023-10-27,26102023,EUR,Zona Euro,36.90314648,36.99563557,2023-10-26 15:38:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
2023-10-26,2023-10-27,26102023,USD,E.U.A.,35.00417025,35.0919,2023-10-26 15:38:00,2_1_2d23_smc.xls,https://www.bcv.org.ve/sites/default/files/EstadisticasGeneral/2_1_2d23_smc.xls
